# 中报预增股择时算法 — 洗盘修复专题
报告日期: 20260807 | 推送时间: 2026-08-08 14:40

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

> 今日无：回踩形态达标者均未通过综合风控（评级/量能/业绩），宁缺毋滥。
> 强势票见下方 AI 二次分析。

## 🤖 AI 二次分析 (DeepSeek)

## 二次筛选结论（敢排敢砍，宁缺毋滥）

**核心思路**：所有标的虽为系统S/A级，但二次筛选必须用超短线视角再砍一刀。凡乖离VWAP/MA20过大、止损过宽、回踩未确认、赔率不达标的，一律降级或剔除。当前阶段不追高，只等回踩后的确认点。

---

### 一、核心持仓（最有把握，2只）

#### 1. 滨化股份（601678）
- **超短线逻辑**：S级，量化91.3、修复93，买点2缩量回踩VWAP确认成立。筹码峰6.42已有效突破，现价7.29高于峰顶13.5%，突破后回踩修复结构完整。赔率：止损6.29（-13.7%） vs 止盈8.79（+20.6%），盈亏比约1.5:1，在超短可接受；大盘多头，化工原料板块有配合。
- **T+1关注要点**：不追高。若回踩至7.0~7.15缩量企稳，可分批买入；若放量跌破6.29止损位，无条件离场。
- **纪律**：止损6.29；止盈8.79。若次日不能收红或低开低走，直接按不及预期处理。

#### 2. 中金黄金（600489）
- **超短线逻辑**：S级，量化90.6、修复85，买点2回踩VWAP确认。现价26.10高于筹码峰22.69约15%，突破有效；黄金板块多头，避险属性与大盘环境契合。赔率：止损23.68（-9.3%） vs 止盈29.73（+13.9%），盈亏比约1.5:1，但止损距离在全部标的中最小，适合超短快进快出。
- **T+1关注要点**：若回踩至25.0~25.5止跌企稳，可介入；冲高至29上方滞涨即分批止盈。
- **纪律**：止损23.68；止盈29.73。若黄金板块整体走弱，即使未到止损也主动减仓。

---

### 二、可参与（次级标的及介入条件）

#### 1. 哈三联（002900）
- 量化93.8最高，但止损距离-17%过大，不能当前追。**介入条件**：次日回踩至12.0~12.5区问且不破11.19，缩量企稳后可轻仓参与；若直接高开冲高则放弃。
- 止损11.19；止盈16.92。

#### 2. 宏达股份（600331）
- 系统已给出“次日观察等回踩”，当前不是买点。**介入条件**：回踩至13.0~13.2附近，不破12.35，出现缩量止跌信号后参与。
- 止损12.35；止盈16.18。

#### 3. 山金国际（000975）
- 与中金黄金联动，作黄金配置次级标的。**介入条件**：若回踩至25.0~25.5不破23.70，且中金黄金不走弱，可低吸。
- 止损23.70；止盈30.32。

---

### 三、剔除/回避（明确砍掉，不参与）

#### 1. 药康生物（688046）
- **剔除**。乖离VWAP、MA20均高达+27.9%，严重透支；现价较筹码峰顶25.14高出32.5%，安全边际极差。即使回踩确认也是高位接盘，不符合超短赔率纪律。

#### 2. 国际复材（301526）
- **剔除**。乖离VWAP+20.4%，现价较筹码峰顶24.96高出53.5%，突破后严重透支；止损29.80距现价-22.2%，止损过宽，盈亏比实际不佳。

#### 3. 中红医疗（300981）
- **剔除**。MA20乖离高达+32.1%，且回踩[否]，买点为放量突破VWAP+筹码峰，属于突破追买而非回踩确认。现价追入风险极大，数据内部亦有矛盾，回避。

#### 4. 红板科技（603459）
- **剔除**。乖离VWAP+19.8%接近20%，筹码集中度26%偏高，系统决策为“回踩VWAP确认加仓”而非当前买点；回踩未确认前不参与，宁缺毋滥。

#### 5. 睿创微纳（688002）
- **剔除**。虽然乖离+17.2%略好，但决策同为“回踩VWAP确认加仓”，当前未确认；止损146.79距现价-13.7%，追高回撤风险大，暂回避，等待真正回踩后再评估。

---

**最终仓位建议**：核心持仓控制在2只以内，剩余资金等待可参与标的回踩到位后再介入。不满足条件就不做，严禁追高。

## 附: 精选标的评分表 (S/A + 洗盘修复分≥80 + 无兑现冲击)

| 股票 | 评级 | 洗盘修复分 | 结构增强 | 主题 | 现价 | 止损 | 次日操作 | 决策 |
|------|:----:|:--------:|:------:|------|:---:|:---:|:---:|------|
| 药康生物(688046) | S | 99 | 94 | 合成生物 | 33.31 | 27.89 |  | 极高胜率重仓买入 |
| 滨化股份(601678) | S | 93 | 94 | 化工 | 7.29 | 6.29 |  | 极高胜率重仓买入 |
| 宏达股份(600331) | S | 97 | 93 | 农化 | 13.88 | 12.35 | ⚠️ 次日观察等回踩 | 极高胜率重仓买入 |
| 国际复材(301526) | S | 98 | 92 | 建材 | 38.32 | 29.80 |  | 极高胜率重仓买入 |
| 哈三联(002900) | S | 84 | 92 | 医药 | 13.48 | 11.19 |  | 极高胜率重仓买入 |
| 红板科技(603459) | A | 97 | 91 | PCB | 105.58 | 87.38 |  | 回踩VWAP确认加仓 |
| 睿创微纳(688002) | A | 98 | 91 | 通信 | 170.04 | 146.79 |  | 回踩VWAP确认加仓 |
| 中金黄金(600489) | S | 85 | 91 | 黄金 | 26.10 | 23.68 |  | 极高胜率重仓买入 |
| 山金国际(000975) | S | 87 | 91 | 黄金 | 26.35 | 23.70 |  | 极高胜率重仓买入 |
| 中红医疗(300981) | A | 92 | 90 | 医疗器械 | 16.06 | 13.83 |  | 回踩VWAP确认加仓 |
| 富瀚微(300613) | A | 100 | 90 | 半导体 | 74.25 | 64.24 |  | 回踩VWAP确认加仓 |
| 哈药股份(600664) | S | 83 | 90 | 医药 | 6.84 | 5.60 |  | 极高胜率重仓买入 |
| 美迪西(688202) | A | 90 | 89 | 医疗器械 | 95.10 | 78.82 |  | 回踩VWAP确认加仓 |
| 行云科技(300209) | A | 94 | 88 | 互联网 | 37.19 | 29.62 |  | 回踩VWAP确认加仓 |
| 立新能源(001258) | A | 90 | 87 | 电力链 | 13.16 | 10.51 |  | 回踩VWAP确认加仓 |
| 沧州大化(600230) | A | 85 | 87 | 化工 | 14.88 | 13.50 |  | 回踩VWAP确认加仓 |
| 兴业银锡(000426) | A | 93 | 86 | 有色金属 | 39.48 | 34.79 |  | 回踩VWAP确认加仓 |
| 盛屯矿业(600711) | A | 90 | 86 | 小金属 | 11.84 | 10.56 |  | 回踩VWAP确认加仓 |
| 盈趣科技(002925) | A | 94 | 86 | 消费电子 | 23.63 | 21.08 |  | 回踩VWAP确认加仓 |
| 昭衍新药(603127) | A | 86 | 86 | 医疗器械 | 50.89 | 42.77 |  | 回踩VWAP确认加仓 |
| 鹏欣资源(600490) | A | 84 | 85 | 有色金属 | 7.18 | 6.51 |  | 回踩VWAP确认加仓 |
| 神力股份(603819) | A | 86 | 85 | 可控核聚变 | 14.23 | 12.92 |  | 回踩VWAP确认加仓 |
| 炜冈科技(001256) | A | 91 | 84 | 机器人/智能制造 | 27.89 | 25.12 |  | 回踩VWAP确认加仓 |
| 百达精工(603331) | A | 82 | 83 | 高端装备 | 12.45 | 11.40 |  | 回踩VWAP确认加仓 |
| 远大控股(000626) | A | 83 | 83 | - | 7.64 | 7.11 |  | 回踩VWAP确认加仓 |
| 华凯易佰(300592) | A | 99 | 81 | 互联网 | 17.15 | 13.86 |  | 回踩VWAP确认加仓 |
