# 中报预增股择时算法 — 洗盘修复专题
报告日期: 20260810 | 推送时间: 2026-08-10 22:51

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

| 股票 | 评级 | 回踩买点分 | 洗盘修复分 | 主题 | 现价 | 止损 |
|------|:----:|:--------:|:--------:|------|:---:|:---:|
| 宏昌电子(603002) | D | 67 | 74 | 化工 | 15.18 | 12.80 |
| 迅捷兴(688655) | B | 61 | 54 | 半导体 | 35.71 | 29.27 |

## 🤖 AI 二次分析 (DeepSeek)

以下只基于你给出的量化字段做二次筛选，不添加消息面。整体判断：**大盘MA20=3862多头环境成立，但个股严重分化，优先低乖离、回踩确认、筹码峰上方不超10%的标的；S级不等于可以追高。**

---

## 1. 核心持仓

### 翠微股份（603123）——首选
- **超短逻辑**：现价9.86，距筹码峰9.46仅+4.2%，VWAP乖离+9.4%、MA20乖离+11.5%，是全部标的中“突破后回踩确认”最干净的结构；买点2成立，增强90.0。止盈11.49（+16.5%），止损8.77（-11.1%），大盘多头下多元金融板块有隔日溢价潜力。
- **T+1关注与纪律**：不追高，等回踩9.50-9.70缩量企稳再进；若低开跌破9.46不能快速收回，放弃。止损8.77，盘中有效跌破直接走；冲高至11.49附近或分时量价背离，分批了结。

### 孚日股份（002083）——次选
- **超短逻辑**：修复99分全池最高，现价12.12距筹码峰11.54仅+5.0%，VWAP乖离+9.3%、MA20乖离+11.7%，不透支；买点2确认。止盈14.53（+19.9%），止损10.51（-13.3%），纺织消费属性适合T+1低吸。
- **T+1关注与纪律**：回踩11.55-11.80不破且缩量，可买；若直接高开冲高不追，等二次回踩。跌破10.51止损；若量能较前日萎缩且收盘低于12.1，说明修复不及预期，走人不扛。

### 富春染织（605189）——低吸核心
- **超短逻辑**：VWAP乖离+9.2%、MA20乖离+9.0%，全场最不透支之一；现价16.78距筹码峰15.31仅+9.6%，买点2确认。止盈20.13（+20.0%），止损14.54（-13.3%）。系统明确“次日观察等回踩”，所以这是条件低吸位，不是追高位。
- **T+1关注与纪律**：只在回踩15.40-15.80（前峰/VWAP区域）企稳时介入；若高开冲高或直接放量加速，放弃。止损14.54；买入后2个交易日站不上17.5，修复失败，减半或离场。

---

## 2. 可参与（条件满足才做）

### 宏达股份（600331）
- **介入条件**：S级但系统提示“观察”。现价14.09距筹码峰13.14仅+7.2%，止损12.61可控；次日若回踩13.20-13.50不破、分时重新放量，可轻仓参与。直接高开冲高不打，等回踩。
- **T+1纪律**：跌破12.61止损；止盈16.31分两批，第一批15.8附近，第二批16.3附近；回踩后不能快速收复14.0，视为不及预期，当天了结。

### 滨化股份（601678）
- **介入条件**：S级、量化92.1，但现价7.43距MA20+19.5%、峰上+15.7%，已有透支，且系统“次日观察”。不追。若次日回踩6.45-6.55区域缩量止跌并收回6.47上方，可轻仓试错；若直接低开跌破6.47，不碰。
- **T+1纪律**：止损6.47；止盈8.86；买入后不能快速回到7.4上方，说明回踩过深不及预期，直接走。

---

## 3. 剔除 / 回避

- **药康生物（688046）**：乖离VWAP+36.1%、MA20+40.0%，距筹码峰26.18达+42.8%，严重透支。量化再高也不在当前位置追，等重新回踩企稳再说。
- **美迪西（688202）**：乖离VWAP+24.6%、MA20+27.1%，峰上+29.3%；止损86.64离现价约-16%，超短止损太宽，赔率被拉低，回避。
- **山金国际（000975）**：乖离VWAP+21.3%、MA20+21.8%，峰上+18.1%，止盈空间只有+14.4%（全池最小），空间不足，性价比差。
- **赤峰黄金（600988）**：现价43.73距筹码峰32.67达+33.9%，已进入脱离筹码密集区的情绪加速段，一旦回踩不是一天能止住，不追。
- **行云科技（300209）**：回踩[否]，买点1放量突破但无回踩确认；现价距筹码峰27.40达+40.1%，VWAP乖离+25.7%，当前位置追高就是接盘，必须等回踩后重新评估。

---

**最终排序：翠微股份 ≥ 孚日股份 > 富春染织（等回踩）> 宏达股份/滨化股份（条件单）> 其余全部回避。**

不满足买入条件，当天空仓也好过追高。若大盘次日失守MA20=3862，所有买点降级、止损收紧。

## 附: 精选标的评分表 (S/A + 洗盘修复分≥80 + 无兑现冲击)

| 股票 | 评级 | 洗盘修复分 | 结构增强 | 主题 | 现价 | 止损 | 次日操作 | 决策 |
|------|:----:|:--------:|:------:|------|:---:|:---:|:---:|------|
| 药康生物(688046) | S | 100 | 96 | 创新药 | 37.39 | 31.63 |  | 极高胜率重仓买入 |
| 滨化股份(601678) | S | 93 | 94 | 化工 | 7.43 | 6.47 | ⚠️ 观察 | 极高胜率重仓买入 |
| 美迪西(688202) | S | 93 | 92 | 创新药 | 103.10 | 86.64 |  | 极高胜率重仓买入 |
| 山金国际(000975) | S | 87 | 91 | 黄金 | 27.14 | 24.54 |  | 极高胜率重仓买入 |
| 宏达股份(600331) | S | 91 | 90 | 化工 | 14.09 | 12.61 | ⚠️ 观察 | 极高胜率重仓买入 |
| 赤峰黄金(600988) | S | 90 | 90 | 黄金 | 43.73 | 38.05 |  | 极高胜率重仓买入 |
| 孚日股份(002083) | A | 99 | 90 | 消费 | 12.12 | 10.51 |  | 回踩VWAP确认加仓 |
| 翠微股份(603123) | A | 92 | 90 | 金融 | 9.86 | 8.77 |  | 回踩VWAP确认加仓 |
| 富春染织(605189) | A | 95 | 90 | 消费 | 16.78 | 14.54 | ⚠️ 次日观察等回踩 | 回踩VWAP确认加仓 |
| 行云科技(300209) | A | 100 | 90 | AI算力 | 38.39 | 30.89 |  | 回踩VWAP确认加仓 |
| 国际复材(301526) | A | 91 | 90 | 建材 | 38.12 | 30.14 |  | 回踩VWAP确认加仓 |
| 华新建材(600801) | A | 97 | 89 | 建材 | 24.02 | 21.71 |  | 回踩VWAP确认加仓 |
| 嘉美包装(002969) | A | 99 | 88 | - | 14.47 | 12.52 |  | 回踩VWAP确认加仓 |
| 哈药股份(600664) | S | 83 | 88 | 创新药 | 7.52 | 6.34 |  | 极高胜率重仓买入 |
| 兴业银锡(000426) | A | 94 | 88 | 工业金属 | 40.67 | 36.12 |  | 回踩VWAP确认加仓 |
| 睿创微纳(688002) | A | 91 | 88 | 军工 | 169.00 | 148.17 |  | 回踩VWAP确认加仓 |
| 红板科技(603459) | A | 86 | 88 | 智能驾驶 | 102.66 | 84.85 |  | 回踩VWAP确认加仓 |
| 中信金属(601061) | A | 94 | 88 | 消费 | 12.56 | 11.36 |  | 回踩VWAP确认加仓 |
| 闰土股份(002440) | A | 96 | 88 | 高端材料 | 13.87 | 11.95 |  | 回踩VWAP确认加仓 |
| 立新能源(001258) | A | 88 | 88 | 电力 | 14.48 | 11.77 |  | 回踩VWAP确认加仓 |
| 哈三联(002900) | A | 85 | 88 | 创新药 | 14.83 | 12.50 |  | 回踩VWAP确认加仓 |
| 三羊马(001317) | A | 97 | 87 | 交通运输 | 56.62 | 50.81 |  | 回踩VWAP确认加仓 |
| 昂立教育(600661) | A | 92 | 86 | - | 9.72 | 8.75 |  | 回踩VWAP确认加仓 |
| 东晶电子(002199) | A | 96 | 86 | AI算力 | 14.00 | 11.48 |  | 回踩VWAP确认加仓 |
| 博通集成(603068) | A | 96 | 85 | 半导体 | 40.98 | 34.95 | ❌ 仅观察不买入 | 回踩VWAP确认加仓 |
| 远大控股(000626) | A | 87 | 85 | - | 7.95 | 7.42 |  | 回踩VWAP确认加仓 |
| 风华高科(000636) | A | 95 | 85 | 电子元件 | 61.70 | 50.56 |  | 回踩VWAP确认加仓 |
| 驰宏锌锗(600497) | A | 93 | 84 | 战略与小金属 | 10.73 | 9.88 | ❌ 仅观察不买入 | 回踩VWAP确认加仓 |
| 富瀚微(300613) | A | 82 | 81 | 半导体 | 74.15 | 64.72 |  | 回踩VWAP确认加仓 |
| 多氟多(002407) | A | 96 | 81 | 化工 | 38.51 | 33.08 |  | 回踩VWAP确认加仓 |
| 中通国脉(603559) | A | 97 | 81 | AI算力 | 9.11 | 7.93 |  | 回踩VWAP确认加仓 |
