# 中报预增股择时算法 — 洗盘修复专题
报告日期: 20260813 | 推送时间: 2026-08-14 08:56

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

> 今日无：回踩形态达标者均未通过综合风控（评级/量能/业绩），宁缺毋滥。
> 强势票见下方 AI 二次分析。

## 🤖 AI 二次分析 (DeepSeek)

# 超短二次筛选结论

**筛选基调：宁缺毋滥，只做低乖离、买点确认、有空间且有板块助推的标的。高乖离追高品种一律砍掉。**

---

## 一、核心持仓（2只）

### 1. 昭衍新药(603127) —— 最优核心

- **超短逻辑**：  
  A级但数据是“修复99+增强91.3”，创新药主题，医疗保健板块，大盘多头环境配合。全池中**乖离最小**：VWAP+9.2%、MA20+10.1%，没有明显透支；回踩✅，买点为**买点2（缩量回踩VWAP确认）**，买点结构质量最高。止盈63.16，空间+21.7%，赔率合格。

- **T+1关注要点**：  
  - 平开或低开缩量回踩VWAP不破且分时企稳，可低吸；  
  - 高开＞5%不追，等二次回踩；  
  - 放量跌破44.39，直接止损，不补仓、不抄底；  
  - 冲高至63附近若放量滞涨，分批止盈。

- **纪律**：止损44.39，收盘跌破必走；不及预期（低开放量走弱）即取消买入。

---

### 2. 睿创微纳(688002) —— 次优核心

- **超短逻辑**：  
  S级，评级量化85.1、修复94、增强90.7，军工方向属强势板块。乖离VWAP+11.5%、MA20+10.8%，仍在可接受范围，未过度透支；回踩✅，买点2确认。筹码峰151.06已突破且集中度20%，结构扎实。止盈196.57，空间+18.2%，风险收益比合格。

- **T+1关注要点**：  
  - 回踩VWAP附近缩量企稳，可介入；  
  - 直接高开加速不追；  
  - 跌破146.04，无条件止损；  
  - 冲高至195-197区间放量滞涨，先减仓。

- **纪律**：止损146.04，收盘破位即走；若全天弱势未出现回踩确认，放弃。

---

## 二、可参与（2只）

### 1. 立航科技(603261)

- **介入条件**：  
  S级、低空经济+航空，有题材加持。但当前乖离VWAP+21.4%、MA20+22.0%偏高，止损49.89距离现价-13%，追高风险大。**不追高，必须等缩量回踩VWAP附近或回踩筹码峰53.22不破并出现企稳信号后，再轻仓参与。**

- **T+1纪律**：  
  - 止损49.89，止盈68.58；  
  - 若回踩过程中放量跌破53.22，则连观察仓都取消；  
  - 高开冲高不碰，弱转强再看。

---

### 2. 中红医疗(300981)

- **介入条件**：  
  修复100，医疗器械，乖离VWAP+8.2%很小，但回踩❌，买点为**买点1（放量突破VWAP+筹码峰）**。现价15.65正好贴在筹码峰15.64，仍缺“放量突破”确认。**必须等放量长阳站稳15.64/16上方，或突破后缩量回踩不破15.64再参与；无放量确认不碰。**

- **T+1纪律**：  
  - 止损13.15，止盈19.40；  
  - 但若突破后次日缩量阴线跌回15.64下方，属不及预期，不等13.15，直接离场；  
  - 全天无放量突破行为，观望不动。

---

## 三、剔除/回避（6只）

### 哈药股份(600664)
**剔除。** 乖离VWAP+42.0%、MA20+38.7%，严重透支，此时再谈“缩量回踩VWAP确认”已无低吸意义；现价8.86距止损7.61有-14.1%的回撤空间，追高风险极大，赔率不成立。

### 药康生物(688046)
**剔除。** 回踩❌，买点为放量突破类型，但现价40.95已高于筹码峰24.93约64%，乖离VWAP+33.8%、MA20+43.5%，属于典型高位追涨形态，买点未确认、空间被透支，放弃。

### 光库科技(300620)
**剔除。** 乖离VWAP+26.0%、MA20+27.4%，且现价314.15对应止损262.20，一旦做错就是-16.5%，超短隔日容错率太低。即使止盈空间+24.8%，风险收益比依然不合格。

### 美迪西(688202)
**剔除。** 回踩❌，买点1无确认；乖离VWAP+23.5%、MA20+27.3%，现价107.35高于筹码峰81.75约31%，止损90.87意味着-15.4%的极限回撤，不符合“极高胜率”买入标准。

### 百达精工(603331)
**剔除。** 系统数据明确给出“次日操作❌仅观察不买入”，且止盈空间只有+11.5%，赔率不足；虽然乖离相对不大，但空间和操作信号双双不支持，直接放弃。

### 亚泰集团(600881)
**剔除。** 量化分虽高，但主题[-]、无板块接力逻辑；乖离VWAP+22.7%、MA20+26.1%过大，止盈空间仅+15.4%，而现价距止损2.04有-10.1%回撤，赔率不够；低价+综合类板块不具备超短进攻性，剔除。

## 附: 精选标的评分表 (S/A + 洗盘修复分≥80 + 无兑现冲击)

| 股票 | 评级 | 洗盘修复分 | 结构增强 | 主题 | 现价 | 止损 | 次日操作 | 决策 |
|------|:----:|:--------:|:------:|------|:---:|:---:|:---:|------|
| 亚泰集团(600881) | S | 97 | 97 | - | 2.27 | 2.04 |  | 极高胜率重仓买入 |
| 哈药股份(600664) | S | 99 | 96 | 创新药 | 8.86 | 7.61 |  | 极高胜率重仓买入 |
| 光库科技(300620) | S | 97 | 92 | 量子计算 | 314.15 | 262.20 |  | 极高胜率重仓买入 |
| 药康生物(688046) | A | 98 | 92 | 创新药 | 40.95 | 34.44 |  | 回踩VWAP确认加仓 |
| 百达精工(603331) | S | 91 | 92 | 机器人 | 13.33 | 12.31 | ❌ 仅观察不买入 | 极高胜率重仓买入 |
| 立航科技(603261) | S | 89 | 91 | 低空经济 | 57.37 | 49.89 |  | 极高胜率重仓买入 |
| 昭衍新药(603127) | A | 99 | 91 | 创新药 | 51.90 | 44.39 |  | 回踩VWAP确认加仓 |
| 中红医疗(300981) | A | 100 | 91 | 医疗器械 | 15.65 | 13.15 |  | 回踩VWAP确认加仓 |
| 睿创微纳(688002) | S | 94 | 91 | 军工 | 166.25 | 146.04 |  | 极高胜率重仓买入 |
| 美迪西(688202) | A | 99 | 90 | 创新药 | 107.35 | 90.87 |  | 回踩VWAP确认加仓 |
| 奥浦迈(688293) | A | 94 | 90 | 创新药 | 67.53 | 57.39 |  | 回踩VWAP确认加仓 |
| 富瀚微(300613) | S | 86 | 89 | 半导体 | 75.66 | 66.59 |  | 极高胜率重仓买入 |
| 金海通(603061) | A | 100 | 88 | 半导体 | 337.98 | 286.90 |  | 回踩VWAP确认加仓 |
| 迪哲医药(688192) | A | 98 | 88 | 创新药 | 61.19 | 53.85 |  | 回踩VWAP确认加仓 |
| 南亚新材(688519) | A | 92 | 88 | 消费电子 | 283.59 | 225.98 |  | 回踩VWAP确认加仓 |
| 天润乳业(600419) | A | 90 | 88 | - | 9.00 | 8.21 |  | 回踩VWAP确认加仓 |
| 行云科技(300209) | A | 95 | 87 | AI算力 | 35.35 | 27.44 |  | 回踩VWAP确认加仓 |
| 大湖股份(600257) | A | 96 | 87 | - | 5.62 | 5.23 |  | 回踩VWAP确认加仓 |
| 立新能源(001258) | A | 84 | 87 | 电力 | 15.27 | 12.16 |  | 回踩VWAP确认加仓 |
| 富创精密(688409) | A | 94 | 87 | 半导体 | 209.42 | 171.74 |  | 回踩VWAP确认加仓 |
| 开开实业(600272) | A | 85 | 86 | - | 16.00 | 14.44 |  | 回踩VWAP确认加仓 |
| 多氟多(002407) | A | 97 | 86 | 化工 | 38.97 | 33.23 |  | 回踩VWAP确认加仓 |
| 金发拉比(002762) | A | 85 | 86 | 消费 | 10.13 | 8.78 |  | 回踩VWAP确认加仓 |
| 柘中股份(002346) | A | 90 | 85 | 新能源车 | 21.61 | 19.67 |  | 回踩VWAP确认加仓 |
| 贝达药业(300558) | A | 96 | 85 | 创新药 | 68.47 | 61.18 | ❌ 仅观察不买入 | 回踩VWAP确认加仓 |
| 招金黄金(000506) | A | 87 | 85 | 黄金 | 17.55 | 14.91 |  | 回踩VWAP确认加仓 |
| 游族网络(002174) | A | 89 | 85 | 游戏 | 13.38 | 12.10 |  | 回踩VWAP确认加仓 |
| 慈星股份(300307) | A | 91 | 85 | 纺织服装 | 7.78 | 7.04 |  | 回踩VWAP确认加仓 |
| 先导基电(600641) | A | 82 | 85 | 半导体 | 34.02 | 28.05 |  | 回踩VWAP确认加仓 |
| 皓宸医疗(002622) | A | 93 | 85 | 创新药 | 2.53 | 2.29 |  | 回踩VWAP确认加仓 |
| 惠发食品(603536) | A | 83 | 84 | 消费 | 9.95 | 9.15 |  | 回踩VWAP确认加仓 |
| 德尔未来(002631) | A | 84 | 83 | 家居 | 8.78 | 7.67 |  | 回踩VWAP确认加仓 |
| 华神科技(000790) | A | 82 | 83 | 创新药 | 4.15 | 3.90 | ❌ 仅观察不买入 | 回踩VWAP确认加仓 |
| 云南锗业(002428) | A | 84 | 82 | 战略与小金属 | 100.21 | 85.17 |  | 回踩VWAP确认加仓 |
| 四川黄金(001337) | A | 86 | 82 | 黄金 | 45.56 | 39.69 |  | 回踩VWAP确认加仓 |
| 圣龙股份(603178) | A | 96 | 81 | 新能源车 | 17.85 | 15.99 |  | 回踩VWAP确认加仓 |
| 长白山(603099) | A | 85 | 77 | - | 40.09 | 37.41 |  | 回踩VWAP确认加仓 |
