# 中报预增股择时算法 — 洗盘修复专题
报告日期: 20260811 | 推送时间: 2026-08-11 19:18

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

> 今日无：回踩形态达标者均未通过综合风控（评级/量能/业绩），宁缺毋滥。
> 强势票见下方 AI 二次分析。

## 🤖 AI 二次分析 (DeepSeek)

## 一、核心持仓（最多3只，信号质量最高、介入结构最扎实）

### 1. 石药创新(300765) —— 今日首选核心仓
- **超短逻辑**：全池唯一“乖离+筹码+回踩+赔率”四维全部合格标的。VWAP乖离仅+9.9%、MA20乖离+10.7%，短线完全未透支；现价43.31距筹码峰38.25仅13%偏离，突破结构真实；买点2缩量回踩VWAP确认，属典型强势股低吸位；止损37.28、止盈52.36，单笔赔率1:1.9，空间+20.9%足够。
- **大盘配合**：大盘多头（MA20=3860），板块多头环境支持。
- **T+1关注要点与纪律**：竞价高开不超过+3%且分时不破VWAP可持仓，盘中回踩40.5-41.5不破可加仓；若低开跌破39.8（前一日VWAP附近）止损离场，不及预期不留仓过夜。

### 2. 富春染织(605189) —— 第二核心仓
- **超短逻辑**：乖离VWAP+10.3%、MA20+10.0%，健康无透支；筹码峰15.69，现价17.10偏离仅9%，突破后回踩买点结构稳定；止损14.88、止盈20.43，空间+19.5%，赔率达标。
- **大盘配合**：大盘多头、纺织板块多头，虽系统标注“⚠️观察”，但回踩确认结构成立，适合T+1低吸而非追高。
- **T+1关注要点与纪律**：次日必须缩量回踩16.3-16.8区间不破VWAP再介入，若直接高开冲高>+5%放弃（赔率被吃掉）；持仓期间收盘跌破15.6无条件止损。

### 3. 睿创微纳(688002) —— 第三核心仓
- **超短逻辑**：VWAP乖离+13.2%、MA20乖离+13.3%，处于安全区内；筹码峰151.06，现价166.75偏离10.4%，筹码突破有效；买点2缩量回踩VWAP确认，军工+通信设备板块双主线加持；止损145.92、止盈198.00，空间+18.7%，赔率合格。
- **大盘配合**：大盘多头，通信设备板块多头共振。
- **T+1关注要点与纪律**：关注162-165回踩区间是否缩量企稳，不破160可持有；止盈目标198分批兑付，快速冲高至190附近至少减半仓；跌破158（VWAP下方）立即止损，不心存侥幸。

## 二、可参与（次级标的，需特定条件触发）

### 美迪西(688202) —— 仅限回踩到VWAP位再参与
- **数据明确点**：S级、修复100满分，但当前乖离VWAP+22.7%、MA20+26.3%已偏透支，适合做强势加速而非低吸，介入前提与核心仓不同。
- **介入条件**：T+1必须回踩至94-96元区间（接近VWAP）且缩量企稳再进场，禁止现价103.7直接追高；止损87.74不变；若直接高开高走不追。

### 国际复材(301526) —— 仅限分时突破前高确认再参与
- **数据明确点**：修复100、空间+30.7%最大，但筹码峰集中度仅17%（偏低，筹码分布散），且现价39.39距筹码峰24.96偏离57.8%，峰位已无实际支撑意义，追高风险大。
- **介入条件**：T+1放量分时突破40.5且站稳半小时以上再介入；缩量回踩38不破可轻仓试错；若低开或跌破37.5不参与。止损31.33保持。

## 三、剔除/回避（明确砍掉，不用再关注）

### 1. 哈药股份(600664) —— **剔除，乖离严重透支**
- **理由**：乖离VWAP+40.4%、MA20+38.3%，全池最极端，股价已完全脱离成本区，透支3-5日全部利润空间，此刻进场即接盘。虽修复分97，但超短买的是“未来空间”而非“修复历史”，空间已被涨幅吃掉，直接回避。

### 2. 药康生物(688046) —— **剔除，最高量化分但买点致命**
- **理由**：量化95.8为全池最高，但MA20乖离+43.9%、VWAP乖离+38.0%，透支程度仅次于哈药；且回踩状态为“否”，买点1放量突破追高型——**在43.9%乖离上做突破追涨**，是超短最忌讳的“高点接棒”。空间+22.1%实质是假赔率，因为回调随时可能吞掉全部空间。回避。

### 3. 立新能源(001258) —— **剔除，回踩未确认且乖离双高**
- **理由**：VWAP乖离+27.2%、MA20乖离+34.5%，同样严重透支；回踩状态“否”，买点1放量突破追高型，且电力板块超短弹性弱，不具备隔日爆发力。虽然空间标+28.0%，但结合乖离+回踩双缺失，属于系统初筛高估，实战放弃。

### 4. 金发拉比(002762) —— **剔除，追突破赔率风险不对等**
- **理由**：MA20乖离+24.2%偏高；回踩状态“否”，买点1追突破；服饰板块非当前资金主线。止损8.99至止盈12.30看似空间+19.3%，但上方VWAP乖离已透支，追突破一旦失败单笔亏损—12.8%，实战赔率不划算。

### 5. 百达精工(603331) —— **剔除，空间不足且系统已提示观察**
- **理由**：止盈空间仅+13.1%，低于超短赔率底线（+15%）；系统自身已标“⚠️观察”，回踩确认有效性存疑。乖离+17%尚可，但赔率不足+预警信号叠加，不值得占用仓位，直接放弃。

## 四、纪律总纲
- 以上操作均以**次日竞价与分时确认为准**，不满足介入条件当天空仓亦不可妥协。
- 核心持仓单票仓位不超过总仓位30%，三票合计不超70%；可参与标的不超20%。
- 任何持仓若收盘跌破给出的止损价，次日竞价无条件离场，不补仓、不摊平。

**结论：今日只做石药创新、富春染织、睿创微纳三只。其余标的，该放弃的放弃，不博弈。**

## 附: 精选标的评分表 (S/A + 洗盘修复分≥80 + 无兑现冲击)

| 股票 | 评级 | 洗盘修复分 | 结构增强 | 主题 | 现价 | 止损 | 次日操作 | 决策 |
|------|:----:|:--------:|:------:|------|:---:|:---:|:---:|------|
| 美迪西(688202) | S | 100 | 96 | 创新药 | 103.70 | 87.74 |  | 极高胜率重仓买入 |
| 哈药股份(600664) | S | 97 | 94 | 创新药 | 8.27 | 7.06 |  | 极高胜率重仓买入 |
| 国际复材(301526) | S | 100 | 93 | 建材 | 39.39 | 31.33 |  | 极高胜率重仓买入 |
| 百达精工(603331) | S | 90 | 92 | 机器人 | 13.41 | 12.23 | ⚠️ 观察 | 极高胜率重仓买入 |
| 药康生物(688046) | A | 99 | 92 | 创新药 | 39.52 | 33.69 |  | 回踩VWAP确认加仓 |
| 石药创新(300765) | S | 96 | 92 | 创新药 | 43.31 | 37.28 |  | 极高胜率重仓买入 |
| 睿创微纳(688002) | A | 96 | 91 | 军工 | 166.75 | 145.92 |  | 回踩VWAP确认加仓 |
| 立新能源(001258) | A | 95 | 91 | 电力 | 15.93 | 12.96 |  | 回踩VWAP确认加仓 |
| 富春染织(605189) | S | 90 | 90 | 消费 | 17.10 | 14.88 | ⚠️ 观察 | 极高胜率重仓买入 |
| 金发拉比(002762) | A | 95 | 89 | 消费 | 10.31 | 8.99 |  | 回踩VWAP确认加仓 |
| 红板科技(603459) | A | 95 | 88 | 智能驾驶 | 99.31 | 82.18 |  | 回踩VWAP确认加仓 |
| 圣龙股份(603178) | A | 100 | 88 | 新能源车 | 17.82 | 16.04 |  | 回踩VWAP确认加仓 |
| 国芳集团(601086) | A | 86 | 87 | - | 8.19 | 7.43 | ⚠️ 观察 | 回踩VWAP确认加仓 |
| 北京文化(000802) | A | 85 | 87 | 传媒 | 5.17 | 4.58 |  | 回踩VWAP确认加仓 |
| 富瀚微(300613) | A | 99 | 87 | 半导体 | 74.43 | 65.18 |  | 回踩VWAP确认加仓 |
| 凯撒文化(002425) | A | 92 | 87 | 游戏 | 3.47 | 3.02 |  | 回踩VWAP确认加仓 |
| 赤峰黄金(600988) | A | 83 | 86 | 黄金 | 40.30 | 34.25 |  | 回踩VWAP确认加仓 |
| 招金黄金(000506) | A | 85 | 86 | 黄金 | 18.89 | 16.37 |  | 回踩VWAP确认加仓 |
| 中红医疗(300981) | A | 99 | 85 | 医疗器械 | 15.55 | 13.18 |  | 回踩VWAP确认加仓 |
| 德冠新材(001378) | A | 95 | 85 | 高端材料 | 21.25 | 19.68 |  | 回踩VWAP确认加仓 |
| 行云科技(300209) | A | 94 | 85 | AI算力 | 34.92 | 27.33 |  | 回踩VWAP确认加仓 |
| 证通电子(002197) | A | 87 | 85 | AI算力 | 7.32 | 6.48 | ❌ 等待首阳 | 回踩VWAP确认加仓 |
| 泛微网络(603039) | A | 80 | 85 | AI算力 | 44.73 | 38.46 |  | 回踩VWAP确认加仓 |
| 四川黄金(001337) | A | 83 | 85 | 黄金 | 47.36 | 41.15 |  | 回踩VWAP确认加仓 |
| 卓翼科技(002369) | A | 94 | 84 | 消费电子 | 5.92 | 5.38 |  | 回踩VWAP确认加仓 |
| 昭衍新药(603127) | A | 85 | 84 | 创新药 | 51.20 | 43.51 |  | 回踩VWAP确认加仓 |
| 云南锗业(002428) | A | 86 | 83 | 战略与小金属 | 100.28 | 86.18 |  | 回踩VWAP确认加仓 |
| 南宁百货(600712) | A | 90 | 82 | - | 5.60 | 4.94 |  | 回踩VWAP确认加仓 |
| 嘉美包装(002969) | A | 80 | 82 | - | 14.14 | 12.14 |  | 回踩VWAP确认加仓 |
| 博通集成(603068) | A | 81 | 81 | 半导体 | 40.53 | 34.77 | ❌ 仅观察不买入 | 回踩VWAP确认加仓 |
