# 中报预增股择时算法 — 洗盘修复专题
报告日期: 20260814 | 推送时间: 2026-08-14 23:00

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

> 今日无：回踩形态达标者均未通过综合风控（评级/量能/业绩），宁缺毋滥。
> 强势票见下方 AI 二次分析。

## 🤖 AI 二次分析 (DeepSeek)

# 二次筛选结论：核心持仓【无】+可参与2只+剔除8只

系统10只初筛标的的买点清一色为“买点2（缩量回踩VWAP确认）”，但当前现价距VWAP乖离达+15.1%~+38.6%。按超短线纪律，**现价追入=止损超限、赔率不足；等待回踩VWAP=次日单日不可能触发**。故核心持仓空仓，宁缺毋滥。

---

## 一、核心持仓（无）

**明确结论：本组标的中无一只满足“立即执行”的核心持仓标准。**

理由（全部基于数据）：

1. **买点在时间维度上不可执行**：全池买点均为“缩量回踩VWAP确认”，但最小乖离（中稀有色+15.1%、华曙高科+15.5%）意味着回踩VWAP需单日下跌13%-16%，在10%/20%涨跌幅限制下，次日盘中触发概率极低。
2. **系统止损与回踩VWAP买点自相矛盾**：若真回踩至VWAP买入，多数系统止损价反而高于买入价（如哈药止损7.70 > VWAP6.43；光库止损269.61 > VWAP252.53），该止损无法生效。
3. **按现价追入，单笔止损全部超标**：全池止损距离为-11.0%~-20.5%，全部突破超短线单笔5%-7%纪律红线；止盈/止损赔率约1.3:1~1.5:1，未达2:1以上合格线。

---

## 二、可参与（2只）——触发式回踩计划

### 1. 华曙高科（688433）——回踩VWAP/MA20共振企稳买

**排序第1位**。理由：乖离VWAP+15.5%为全池第二低；VWAP=82.07与MA20=81.24几乎重合，双支撑共振；筹码峰顶92.56距现价仅-2.4%，高位筹码保护较好。

- **①触发条件**：5个交易日内，盘中回踩至**81.25-82.90元**（VWAP 82.07±1%，MA20 81.24处于区间下沿），且30分钟K线出现缩量企稳：**连续2根30分钟K线收盘站稳81.25上方，且对应成交量低于前5根30分钟K线均量的50%**；或日线级**量比<0.8且收盘价站稳82.07上方**。满足后以确认企稳时价格买入。
- **②仓位**：15%仓位。
- **③止损**：**79.60元**（VWAP下方3.0%）。盘中触及79.60即市价卖出，不等待反弹。
- **④止盈**：**96.00元减半仓**（原仓位50%）；剩余半仓止损上移至**82.07元（成本保护）**，第二目标**113.70元全部清仓**。
- **⑤失效条件与时限**：5个交易日内未回踩至81.25-82.90且缩量企稳，本计划作废，不隔日追；若期间放量跌破81.24（MA20）或79.60，支撑失效，立即放弃；若未回踩而直接放量拉升，不追高，计划作废。

---

### 2. 中稀有色（600259）——回踩VWAP/MA20共振企稳买

**排序第2位**。理由：乖离VWAP+15.1%为全池最低；VWAP=80.09与MA20=78.84接近，支撑较扎实；但筹码峰顶88.11距现价-4.4%，高位筹码保护弱于华曙，故仓位降至12%。

- **①触发条件**：5个交易日内，盘中回踩至**79.30-80.90元**（VWAP 80.09±1%），且30分钟K线出现缩量企稳：**连续2根30分钟K线收盘站稳80.09上方，且对应成交量低于前5根30分钟K线均量的50%**；或日线级**量比<0.8且收盘价站稳80.09上方**。满足后以确认企稳时价格买入。
- **②仓位**：12%仓位。
- **③止损**：**77.50元**（VWAP下方3.2%）。盘中触及77.50即市价卖出。
- **④止盈**：**92.50元减1/3仓**；**100.00元再减1/3仓**；剩余1/3仓止损上移至**80.09元（成本保护）**，第二目标**107.40元全部清仓**。
- **⑤失效条件与时限**：5个交易日内未触发回踩企稳，计划作废，不隔日追；若5日内放量跌破78.84（MA20），VWAP支撑失效，放弃本计划；若未回踩而直接拉升，不追高，计划作废。

---

## 三、剔除/回避（8只）

### 1. 行云科技（300209）
**剔除。** 乖离VWAP+19.8%、乖离MA20+23.9%；现价38.93较筹码峰顶27.84高出+39.8%，筹码支撑距离过远；按现价买入止损30.94为-20.5%，严重超限；回踩VWAP 32.49需下跌16.5%，5日波段时限内触发概率低。**等待价：回踩至32.49±1%（31.56-32.81）缩量企稳后再评估。**

### 2. 德尔未来（002631）
**剔除。** 乖离VWAP+24.3%、乖离MA20+25.7%；现价9.15较筹码峰顶8.38高出+9.2%，突破后无回踩确认；止损8.03位于VWAP 7.36上方+9.1%，若回踩VWAP买入则止损价高于买入价，无法生效；按现价买入止损-12.2%、止盈+18.3%，赔率1.5:1不合格。**等待价：回踩至7.36±1%（7.29-7.43）缩量企稳后再评估。**

### 3. 光库科技（300620）
**剔除。** 乖离VWAP+27.5%、乖离MA20+28.4%；20cm涨停板高价股（321.91元），单笔止损-16.2%，风险敞口过大；止损269.61位于VWAP 252.53上方+6.8%，与回踩VWAP买点矛盾；止盈+24.4%对应止损-16.2%，赔率仅1.5:1。**等待价：回踩至252.53±1%（249.97-255.06）缩量企稳后再评估。**

### 4. 哈药股份（600664）
**剔除。** 乖离VWAP+38.6%、乖离MA20+35.6%，为全池最严重透支；现价8.91较筹码峰顶5.99高出+48.7%，完全脱离筹码密集区；10cm主板当日不可能回踩VWAP 6.43；止损7.70位于VWAP上方+19.7%，回踩买入后止损逻辑不成立；按现价追入止损-13.6%超限。**等待价：回踩至6.43±1%（6.37-6.49）缩量企稳，且需重新设定止损后再评估。**

### 5. 赛意信息（300687）
**剔除。** 乖离VWAP+23.0%、乖离MA20+22.3%；现价29.60较筹码峰顶28.00高出+5.7%，突破未确认；止损26.33位于VWAP 24.07上方+9.4%，回踩VWAP买入时止损价高于买入价；按现价买入止损-11.0%超限、止盈+16.6%，赔率1.5:1不合格。**等待价：回踩至24.07±1%（23.83-24.31）缩量企稳后再评估。**

### 6. 南亚新材（688519）
**剔除。** 乖离VWAP+22.8%、乖离MA20+24.0%；现价309.00较筹码峰顶235.16高出+31.4%，筹码支撑极远；20cm高价股，止损-19.0%严重超限；止盈+28.5%，赔率1.5:1不合格。**等待价：回踩至251.58±1%（249.00-254.10）缩量企稳后再评估。**

### 7. 美迪西（688202）
**剔除。** 回踩[否]，回踩完全未确认；买点1（放量突破VWAP+筹码峰）早已兑现，现价108.76较筹码峰顶81.75高出+33.0%，当前无任何回踩性买点；止损92.53距现价-14.9%，且位于VWAP 88.67上方+4.4%，回踩买入后止损无法生效。**等待价：回落至88.67±1%（87.82-89.56）并出现新的放量突破信号后再评估，否则无有效买点。**

### 8. 华正新材（603186）
**剔除。** 乖离VWAP+24.9%、乖离MA20+26.8%；现价167.55较筹码峰顶132.21高出+26.7%，筹码支撑过远；止损143.30距现价-14.5%超限，且位于VWAP 134.16上方+6.8%，回踩买入时止损价高于买入价；止盈+21.7%，赔率不足。**等待价：回踩至134.16±1%（132.82-135.50）缩量企稳后再评估。**

## 附: 精选标的评分表 (S/A + 洗盘修复分≥80 + 无兑现冲击)

| 股票 | 评级 | 洗盘修复分 | 结构增强 | 主题 | 现价 | 止损 | 次日操作 | 决策 |
|------|:----:|:--------:|:------:|------|:---:|:---:|:---:|------|
| 行云科技(300209) | S | 96 | 96 | AI算力 | 38.93 | 30.94 |  | 极高胜率重仓买入 |
| 德尔未来(002631) | S | 99 | 95 | 家居 | 9.15 | 8.03 |  | 极高胜率重仓买入 |
| 光库科技(300620) | S | 98 | 94 | 量子计算 | 321.91 | 269.61 |  | 极高胜率重仓买入 |
| 哈药股份(600664) | S | 89 | 93 | 创新药 | 8.91 | 7.70 |  | 极高胜率重仓买入 |
| 华曙高科(688433) | A | 99 | 91 | 军工 | 94.80 | 82.20 |  | 回踩VWAP确认加仓 |
| 中稀有色(600259) | A | 93 | 90 | 战略与小金属 | 92.20 | 82.06 |  | 回踩VWAP确认加仓 |
| 赛意信息(300687) | A | 93 | 90 | AI算力 | 29.60 | 26.33 |  | 回踩VWAP确认加仓 |
| 南亚新材(688519) | A | 95 | 90 | 消费电子 | 309.00 | 250.36 |  | 回踩VWAP确认加仓 |
| 美迪西(688202) | A | 98 | 90 | 创新药 | 108.76 | 92.53 |  | 回踩VWAP确认加仓 |
| 华正新材(603186) | A | 92 | 90 | 半导体 | 167.55 | 143.30 |  | 回踩VWAP确认加仓 |
| 柘中股份(002346) | S | 89 | 90 | 新能源车 | 22.33 | 20.38 |  | 极高胜率重仓买入 |
| 药康生物(688046) | A | 90 | 89 | 创新药 | 40.50 | 33.96 |  | 回踩VWAP确认加仓 |
| 开开实业(600272) | A | 87 | 89 | - | 17.60 | 15.72 |  | 回踩VWAP确认加仓 |
| 先导基电(600641) | A | 96 | 89 | 半导体 | 34.20 | 28.34 |  | 回踩VWAP确认加仓 |
| 兖矿能源(600188) | A | 95 | 88 | 煤炭 | 22.19 | 20.18 |  | 回踩VWAP确认加仓 |
| 多氟多(002407) | A | 88 | 88 | 化工 | 39.16 | 33.73 |  | 回踩VWAP确认加仓 |
| 利通电子(603629) | A | 95 | 88 | 消费电子 | 137.50 | 116.12 |  | 回踩VWAP确认加仓 |
| 天孚通信(300394) | A | 98 | 88 | AI算力 | 267.71 | 222.53 |  | 回踩VWAP确认加仓 |
| 拓斯达(300607) | A | 95 | 87 | 机器人 | 35.70 | 31.76 |  | 回踩VWAP确认加仓 |
| 云南锗业(002428) | A | 95 | 86 | 战略与小金属 | 101.59 | 86.86 |  | 回踩VWAP确认加仓 |
| 纳微科技(688690) | A | 82 | 86 | 脑机接口 | 43.85 | 39.30 |  | 回踩VWAP确认加仓 |
| 博通集成(603068) | A | 93 | 86 | 半导体 | 41.44 | 36.40 |  | 回踩VWAP确认加仓 |
| 睿创微纳(688002) | A | 86 | 86 | 军工 | 166.01 | 145.90 |  | 回踩VWAP确认加仓 |
| 宝鼎科技(002552) | A | 85 | 86 | 电子元件 | 60.65 | 52.35 |  | 回踩VWAP确认加仓 |
| 莲花控股(600186) | A | 83 | 86 | 消费 | 12.02 | 10.42 |  | 回踩VWAP确认加仓 |
| 大湖股份(600257) | A | 83 | 85 | 消费 | 5.63 | 5.23 |  | 回踩VWAP确认加仓 |
| 亚泰集团(600881) | A | 86 | 85 | - | 2.18 | 1.91 |  | 回踩VWAP确认加仓 |
| 海正药业(600267) | A | 81 | 83 | 创新药 | 14.18 | 12.87 |  | 回踩VWAP确认加仓 |
| 新北洋(002376) | A | 93 | 83 | 信创 | 6.82 | 6.36 |  | 回踩VWAP确认加仓 |
| 招金黄金(000506) | A | 96 | 81 | 黄金 | 17.64 | 14.96 |  | 回踩VWAP确认加仓 |
| 富瀚微(300613) | A | 84 | 81 | 半导体 | 75.91 | 67.00 |  | 回踩VWAP确认加仓 |
| 金发拉比(002762) | A | 84 | 78 | 消费 | 10.18 | 8.82 |  | 回踩VWAP确认加仓 |
| 慈星股份(300307) | A | 80 | 78 | 纺织服装 | 7.81 | 7.07 |  | 回踩VWAP确认加仓 |
